Ticker,Volume,Volume Weighted Avg,Open,Close,High,Low,Timestamp,No. Transactions
DISH,1020578.0,15.9766,15.85,16.0,16.095,15.82,1669410000000,10998
DIS,6664281.0,99.2675,98.81,98.87,99.81,98.08,1669410000000,76738
DG,889040.0,256.3861,256.46,257.23,258.01,254.565,1669410000000,20152
DLTR,1553183.0,150.6544,150.75,151.33,151.78,148.5273,1669410000000,24248
D,1702092.0,61.6042,61.39,61.53,61.97,61.25,1669410000000,18676
DPZ,184942.0,389.8502,392.56,389.06,395.0,387.31,1669410000000,8034
DOV,237894.0,143.0045,143.16,142.99,143.646,142.56,1669410000000,5802
DOW,1648145.0,51.5887,51.5,51.56,51.82,51.42,1669410000000,17738
DTE,386971.0,114.9693,114.91,114.78,115.42,114.6,1669410000000,8837
DUK,1275680.0,99.5136,99.0,99.62,99.99,98.9,1669410000000,18118
DD,1051073.0,71.3876,71.47,71.25,72.12,71.08,1669410000000,12947
DXC,514644.0,29.7206,29.74,29.68,29.9,29.61,1669410000000,5287
EMN,259948.0,86.8027,86.67,86.98,87.15,86.255,1669410000000,6695
ETN,628913.0,166.5862,166.41,166.11,167.22,165.7801,1669410000000,12151
EBAY,2329792.0,44.9183,44.67,45.04,45.21,44.56,1669410000000,23411
ECL,553353.0,149.0908,149.7,148.95,150.1,148.69,1669410000000,11086
EIX,625948.0,64.0864,64.03,64.23,64.43,63.81,1669410000000,9297
EW,1566760.0,76.1366,75.95,76.36,76.47,75.57,1669410000000,14348
EA,781275.0,129.6058,129.98,129.5,130.27,129.15,1669410000000,14405
ELV,464048.0,511.6962,509.67,513.86,514.73,508.36,1669410000000,10757
LLY,1039094.0,364.519,362.9,365.25,365.83,361.55,1669410000000,22767
EMR,1324777.0,96.2719,95.89,96.12,96.65,95.26,1669410000000,14908
ENPH,1538815.0,319.3765,315.05,319.42,323.44,310.7501,1669410000000,33297
ETR,723561.0,113.7593,113.66,113.75,114.27,112.96,1669410000000,13129
EOG,1430753.0,143.5983,142.92,142.64,144.91,142.44,1669410000000,25511
EPAM,134548.0,349.3013,345.8,349.15,352.71,344.82,1669410000000,4886
